data\ca\154992\1391723\316060353.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""My wife and I stayed here for one night and we were very impressed with this clean, quiet, and conveniently located hotel. The staff were very hospitable and professional. The room was very well lit, clean, comfortable and properly stocked. We had a micro wave and mini fridge. There are many brand name restaurants nearby and the property is just off the 401. The bed and pillows were perfect for a good nights sleep. ",5,positive
data\ca\154992\1391723\318009004.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""We stayed here just passing through on our way to a wedding. The service was phenomenal from all staff, especially Kate at the Front Desk. \n\nWe booked on points and received a complimentary upgrade and were informed of this upon check-in. We were greeted as IHG reward members. The room was beautiful, very spacious and the furniture looked very modern. The bed was so comfortable, we don't usually sleep in a King Bed at home so this was a nice treat and we were satisfied with every aspect of the stay.\n\nThe housekeeping and breakfast staff were friendly. The complimentary breakfast in the morning was fantastic. A lot of variety and options to get you going in the morning. I got a coffee and was surprised there was a hazelnut flavor I could put in for an extra touch. The pancake machine was working and was a hit for my boyfriend.\n\nTo top all of this off, my boyfriend left his glasses in the room which we only realized when we got home. I gave the hotel a call, they said they would verify with housekeeping and give us a call back. Kate called us back within 5 minutes of receiving the call, she found the glasses and will be sending them to us through the mail. I was impressed with how fast our request was answered. \n\nConveniently located to a few good fast food spots, a shoppers and a bulk barn, it made all of our basic needs within steps from the hotel. If you are thinking of staying in the Kingston, On area, do not hesitate to try this hotel! :)",5,positive
data\ca\154992\1391723\319168897.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""I travel frequently for business and Kingston is a regular destination for me. I always stay at this particular IHG property while in Kingston because it has been consistently very good. \n\nThe rooms and the rest of the facility are spotless, the beds are comfortable and I've never once been disturbed by loud guests, or any other noise. The desk staff, also are consistently excellent. As an IHG Platinum member, I am frequently upgraded at this property, which often seems to be lacking at other IHG properties. \n\nThere are plenty of restaurants within walking distance, and they have complimentary breakfasts each morning. It is also very close to the 401, with plenty of free parking, so easily accessible also. \n\nFor a frequent business traveler, consistency is a good thing- it's the next best thing to home and I always look forward to my Kingston trips as I know I'll get a good night's sleep in a nice clean room!  Keep up the great work. ",4,positive
data\ca\154992\1391723\320704103.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""We were in town for a sporting event, so we only stayed the one night. The hotel was clean, quiet and the breakfast was adequate for the needs of our three athletes. It was a very good value and quite close to our venue.",4,positive
data\ca\154992\1391723\321613667.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""My parents had a car accident this weekend near Kingston and were rushed to the hospital for examination.  After they were released (thankfully, just bruised), they needed a place to overnight until they could pick up a rental car the next day.  It was homecoming weekend in Kingston and every single reasonably priced hotel room was booked.  The light in the unfortunate scenario was Olivia at this property.  She promptly secured the last room and gave us the hospital rate for the night.  Equipped with amenity kits, they have a good night's sleep after a traumatic day!  Thank you to everyone at the HIEXP in Kingston!  You'll always be remembered!",5,positive
data\ca\154992\1391723\329622554.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""The room was very nice.  Place is clean and modern.  I did require to use the business centre (clean and easy).  The breakfast was good, normal but good.  The breakfast area is nice.  The hotel is close to gas stations, 24 hour shoppers drug mart, LCBO, Tims and others.  And it is right on the 401.  Would recommend for Kingston.",5,positive
data\ca\154992\1391723\335538906.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""I stayed here with my wife over the holidays to visit with family. This is a clean and well run hotel that is convenient to the 401 and shopping. The only real issue I  had was the traffic noise because we were on the front where the local pick-up drivers love the sound of their engines as they tear up and down the road making multiple trips for coffee and donuts. If noise bothers you ask for a room at the rear.\n\nThe breakfast was good. The pool area was tiny with only one small sitting area leaving no place for anyone else to use for clothes\u002Ftowels etc.\n\nOverall a good hotel but had some minor issues.",4,positive
data\ca\154992\1391723\337226188.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""I had my windshield smashed driving on the 401 as a large piece of ice fell from a freight liner truck and shattered my windshield glass into my car on a Sunday. After getting incompetent weekend service from my insurance company (re-directed to 3 different agents not in Canada), I arrived in Kingston with my car quite angry and upset. On arrival to the Holiday Inn, the receptionist was very friendly and upgraded my room. Later on, she actually printed out a potential glass repair shop I could go to as well. Thank you Holiday Inn Kingston for creating some positivity in an otherwise disappointing Sunday. I will definitely be staying here for any visits I make to Kingston.",5,positive
data\ca\154992\1391723\337649660.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""For some reason I often hesitate with the Holiday Inn Express brand, but not anymore! This hotel is new, clean, spacious and comfortable! The staff are very friendly too! Breakfast buffet was typical of the brand, but certainly fine. It's convenient if you need to stop somewhere along the highway and also just a short drive into the heart of Kingston.   I wouldn't hesitate to stay here again! ",5,positive
data\ca\154992\1391723\337719979.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""My husband and I stayed at this hotel for one night while visiting family. The hotel was easy to find, just off the 401. Staff was friendly. Check in was quick and I did not have to remind the receptionist about my points. Room was spacious, quiet and very clean. Bathroom was also very clean with a good supply of toiletries and a hair dryer. Bed was comfortable with nice fluffy pillows (2 for each of us plus an extra in the closet). We slept well! Continental breakfast (included in the price) was good. Lots of healthy choices, good coffee (with takeout lids) and a really fascinating pancake machine. Special mention of Cheryl who kept the breakfast area clean and the coffee\u002Ffood items stocked up. She was friendly and very helpful. Pool looked nice and clean but we did not have time to use it due to a family event. I would stay here again.",5,positive
data\ca\154992\1391723\349843132.html,Holiday Inn Express Hotel &amp; Suites Kingston,"""The room was spacious and clean. The in room Jacuzzi was more like a one person tub but two can fit if you sit at either end. The hotel is conveniently located just off Highway 401 with lots of restaurants close by. Just a short drive to downtown.",4,positive
